Ticker,Date,Open,Close,High,Low,Volume
JPM,2025-02-03,262.57,266.9,268.12,261.85,302317
JPM,2025-02-04,269.73,267.86,269.73,266.84,188559
JPM,2025-02-05,269.1,270.48,270.59,268.37,188788
JPM,2025-02-06,272.35,276.76,276.97,271.23,226516
JPM,2025-02-07,277.22,275.84,278.48,274.72,186690
JPM,2025-02-10,275.68,271.03,276.12,269.6,271453
JPM,2025-02-11,270.15,275.15,276.21,269.73,314624
JPM,2025-02-12,274.23,275.45,276.44,273.34,205590
JPM,2025-02-13,275.37,276.29,276.94,273.82,181682
JPM,2025-02-14,277.26,276.55,279.21,276.47,183971
JPM,2025-02-18,276.84,279.96,279.96,276.03,158473
JPM,2025-02-19,278.16,279.3,280.23,277.27,224866
JPM,2025-02-20,278.65,266.85,278.65,265.75,550416
JPM,2025-02-21,268.33,264.17,269.19,262.87,354253
JPM,2025-02-24,265.55,261.32,266.9,258.79,347755
JPM,2025-02-25,262.24,257.39,262.96,253.42,356548
JPM,2025-02-26,257.2,258.83,260.88,256.93,203296
JPM,2025-02-27,260.2,259.12,263.63,257.87,296005
JPM,2025-02-28,260.5,264.54,264.79,257.94,203597
JPM,2025-03-03,264.09,260.65,266.26,257.82,241011
JPM,2025-03-04,257.03,250.21,257.23,245.97,430006
JPM,2025-03-05,251.38,251.39,253.03,247.86,258406
JPM,2025-03-06,248.14,246.56,249.3,243.86,288388
JPM,2025-03-07,245.2,242,246.73,239.45,498115
JPM,2025-03-10,236.79,232.15,237.48,228.73,910507
JPM,2025-03-11,232.23,229.09,233.26,226.74,545782
JPM,2025-03-12,233.86,227.89,234.29,227.31,526036
JPM,2025-03-13,229.04,225.22,229.25,224.25,527577
JPM,2025-03-14,228.52,232.28,233.14,227.73,385060
JPM,2025-03-17,231.31,233.95,235.64,230.67,236443
JPM,2025-03-18,234.34,235,236.11,233.55,246264
JPM,2025-03-19,235.83,239.08,242.29,234.89,305971
JPM,2025-03-20,236.53,238.94,241.73,236.25,251777
JPM,2025-03-21,237.63,241.63,242.27,236.62,253523
JPM,2025-03-24,245.65,247.98,248.68,244.48,235222
JPM,2025-03-25,249.08,251.07,251.79,247.63,274731
JPM,2025-03-26,252.75,250.95,254.66,249.82,368022
JPM,2025-03-27,249.37,248.15,250.64,247.29,240845
JPM,2025-03-28,247.06,242.85,249.45,241.15,288971
JPM,2025-03-31,239.49,245.18,245.83,237.44,291984
JPM,2025-04-01,242.87,243.53,245.67,240.91,239533
JPM,2025-04-02,241.74,245.8,247.27,241.51,220864
JPM,2025-04-03,234.21,228.71,235.12,227.4,557460
JPM,2025-04-04,215.58,210.26,217.55,208.97,1033614
JPM,2025-04-07,204.83,214.35,221.95,202.29,675191
JPM,2025-04-08,223.09,216.9,227.78,213.32,407704
JPM,2025-04-09,212.75,234.26,237.39,211.04,759832
JPM,2025-04-10,229.37,226.93,230.31,220.11,686543
JPM,2025-04-11,225.46,236.15,238.52,225.02,715329
JPM,2025-04-14,237.87,234.71,239.49,233.69,453708
JPM,2025-04-15,236.48,233.15,238.52,232.86,235910
JPM,2025-04-16,232.1,229.6,233.56,227.97,275730
JPM,2025-04-17,230.7,232,234.34,230.53,277391
META,2025-01-02,589.72,599.24,604.68,588,332294
META,2025-01-03,604.5,604.45,609.33,596.61,174149
META,2025-01-06,611.83,630.35,630.99,605.77,455179
META,2025-01-07,631.75,617.97,631.93,608.38,266189
META,2025-01-08,612.62,610.52,616.35,602.96,337138
META,2025-01-10,610.03,615.84,629.78,597.38,632735
META,2025-01-13,607.03,608.29,608.82,598.57,307657
META,2025-01-14,604.63,594.32,605.36,588.68,413729
META,2025-01-15,610.36,616.73,622.38,606.5,376742
META,2025-01-16,611.32,611.37,616.13,609.8,251062
META,2025-01-17,624,612.84,625.01,603.85,264400
META,2025-01-21,617.83,616.4,621.17,609.24,301918
META,2025-01-22,623.55,623.42,633.58,619.44,327843
META,2025-01-23,627.54,636.4,636.58,621.31,195316
META,2025-01-24,636.8,647.19,651.99,634.49,443394
META,2025-01-27,626.09,659.78,663.55,625.36,645462
META,2025-01-28,666,674.23,682.49,659.47,493752
META,2025-01-29,674.81,676.57,680.99,665.83,499569
META,2025-01-30,696.98,686.66,710.74,676.26,813376
META,2025-01-31,692.3,689.18,705.19,685.7,450321
META,2025-02-03,675.6,697.45,703.98,675.27,476731
META,2025-02-04,702.25,703.75,707.63,691.78,364499
META,2025-02-05,702.99,704.14,717.97,699.01,408455
META,2025-02-06,706.17,711.72,718.83,703.74,440988
META,2025-02-07,716.55,714.35,724.92,711.82,425894
META,2025-02-10,719,717.14,721.04,711.43,288807
META,2025-02-11,713.33,719.88,723.66,710.13,277774
META,2025-02-12,715.3,725.18,727.05,712.61,297676
META,2025-02-13,721.3,728.47,728.94,718.15,325910
META,2025-02-14,726.58,736.55,740.8,725.71,370078
META,2025-02-18,736.71,716.37,736.72,706.51,550113
META,2025-02-19,704.74,703.74,706.96,695.34,344430
META,2025-02-20,697.28,694.93,705.53,693.74,410862
META,2025-02-21,696.58,683.53,703.76,682.37,518042
META,2025-02-24,686,668.08,687.26,662.58,480115
META,2025-02-25,666.39,657.96,668,642.04,980426
META,2025-02-26,659.86,673.65,682.97,658.72,485408
META,2025-02-27,683.94,658.46,688.59,657.57,332309
META,2025-02-28,658,667.76,669.63,642.78,588654
META,2025-03-03,673.67,655.04,681.25,650.97,284480
META,2025-03-04,645.25,639.73,649.74,623.72,838090
META,2025-03-05,641.32,656.35,659.5,637.65,371347
META,2025-03-06,648.01,627.83,650.54,624.2,477109
META,2025-03-07,625.37,625.65,634.56,600.71,816023
META,2025-03-10,607.91,598.22,610.07,587,865224
META,2025-03-11,595.4,605.44,614.96,594.93,542539
META,2025-03-12,629.31,619.33,633.2,609.5,518539
META,2025-03-13,620.46,590.7,620.83,586.59,422850
META,2025-03-14,602.81,607.42,608.83,595,415609
META,2025-03-17,607.46,605.23,612.75,598.16,567637
META,2025-03-18,599.76,582.34,600.06,574.67,681397
META,2025-03-19,584.21,584.09,592.35,574.89,625357
META,2025-03-20,582.76,585.71,609.99,579.83,569913
META,2025-03-21,582.99,596.28,597.5,581.14,353353
META,2025-03-24,614.09,618.46,622.51,612.37,399046
META,2025-03-25,627.15,626.2,633.8,621.32,350742
META,2025-03-26,624.5,610.86,626.59,606.73,369105
META,2025-03-27,601.76,602.51,614.19,600.11,272753
META,2025-03-28,600.45,576.79,601.57,573.94,580050
META,2025-03-31,562.97,576.38,578.68,553.44,463093
META,2025-04-01,570.67,585.87,589.89,570.16,350296
META,2025-04-02,574.25,584.13,592.6,573.52,393365
META,2025-04-03,546.3,531.61,552.55,530.3,1101972
META,2025-04-04,506.77,504.76,517.98,494.2,1200356
META,2025-04-07,484.21,516.24,539.09,481.99,1310323
META,2025-04-08,542.97,510.6,547.33,502.96,770263
META,2025-04-09,508.54,584.8,587.88,502.43,1070340
META,2025-04-10,575.77,546.16,580.98,535.6,837427
META,2025-04-11,535.25,543.3,547.15,529.12,557734
META,2025-04-14,555.96,531.74,557.57,528.31,397997
META,2025-04-15,532.11,521.23,537.81,517.64,383693
META,2025-04-16,508.77,502.32,513.29,495.71,486726
META,2025-04-17,504.99,501.51,507.3,498.11,415905
MSFT,2025-01-02,425.08,418.6,426.07,414.87,441650
MSFT,2025-01-03,421.45,423.38,424.02,419.59,248116
MSFT,2025-01-06,428.19,428.07,434.25,425.56,434544
MSFT,2025-01-07,429.42,422.39,430.57,420.83,428936
MSFT,2025-01-08,423.92,424.46,426.89,421.56,414939
MSFT,2025-01-10,424.71,418.91,424.71,415.07,628340
MSFT,2025-01-13,415.13,417.13,418.47,412.38,472843
MSFT,2025-01-14,418.1,415.71,419.71,410.77,527661
MSFT,2025-01-15,419.13,426.22,428.13,418.35,490735
MSFT,2025-01-16,428.66,424.62,429.39,424.39,389561
MSFT,2025-01-17,434.31,429.02,434.31,428.29,770846
MSFT,2025-01-21,430,428.61,430.87,425.68,481509
MSFT,2025-01-22,437.51,446.18,447.01,436.07,729609
MSFT,2025-01-23,442.12,446.64,446.64,441.52,318746
MSFT,2025-01-24,445.09,444.01,446.62,441.4,392867
MSFT,2025-01-27,424,434.63,435.2,423.61,913875
MSFT,2025-01-28,434.05,447.16,448.37,431.38,779706
MSFT,2025-01-29,446.69,441.89,446.84,440.45,559222
MSFT,2025-01-30,418.5,414.84,422.78,413.2,1718010
MSFT,2025-01-31,418.73,415,420.65,414.99,976340
MSFT,2025-02-03,411.6,411,415.38,408.68,887950
MSFT,2025-02-04,412.68,412.21,413.89,409.8,536192
MSFT,2025-02-05,411.84,413.27,413.8,410.46,446036
MSFT,2025-02-06,414.32,415.75,418.18,414.13,439560
MSFT,2025-02-07,416.63,409.75,418.61,408.11,600899
MSFT,2025-02-10,413.69,412.19,415.46,410.95,495123
MSFT,2025-02-11,409.63,411.46,412.49,409.33,266324
MSFT,2025-02-12,407.25,408.95,410.73,404.39,590754
MSFT,2025-02-13,407.4,410.53,411,406.36,451489
MSFT,2025-02-14,407.77,408.34,408.83,405.9,545641
MSFT,2025-02-18,408,409.58,410.59,406.5,363568
MSFT,2025-02-19,408.87,414.87,415.48,407.65,590965
MSFT,2025-02-20,415.55,416.06,419.26,412.68,533866
MSFT,2025-02-21,417.34,408.29,417.98,407.97,537373
MSFT,2025-02-24,408.95,404.09,409.38,399.34,674785
MSFT,2025-02-25,401.1,398.17,401.87,396.71,1065968
MSFT,2025-02-26,398.07,399.88,403.61,394.26,480596
MSFT,2025-02-27,401.26,392.5,405.74,392.29,643775
MSFT,2025-02-28,392.66,397.08,397.61,386.57,665752
MSFT,2025-03-03,398.35,388.54,399,386.19,623393
MSFT,2025-03-04,383.37,388.63,392.58,381.01,888065
MSFT,2025-03-05,389.34,400.73,401.65,388.82,930921
MSFT,2025-03-06,394.12,396.92,402.11,393.3,930433
MSFT,2025-03-07,392.44,393.27,394.77,385.58,669477
MSFT,2025-03-10,385.84,380.23,386.36,377.22,1140309
MSFT,2025-03-11,378.95,380.36,385.95,376.94,823628
MSFT,2025-03-12,382.95,383.3,385.15,379,729827
MSFT,2025-03-13,383.16,378.81,385.22,377.48,570431
MSFT,2025-03-14,379.99,388.34,389.77,379.66,499900
MSFT,2025-03-17,386.72,388.7,392.71,385.67,423445
MSFT,2025-03-18,387.18,383.55,387.29,381.16,614270
MSFT,2025-03-19,385.49,387.86,389.54,384.01,350995
MSFT,2025-03-20,385.74,386.83,391.77,383.28,392823
MSFT,2025-03-21,383.22,391.17,391.73,382.92,509307
MSFT,2025-03-24,395.28,392.61,395.32,389.88,535103
MSFT,2025-03-25,393.89,395.14,396.31,392.69,361797
MSFT,2025-03-26,394.93,389.84,395.28,388.58,446739
MSFT,2025-03-27,390.19,390.58,392.22,387.48,408640
MSFT,2025-03-28,388.19,378.77,389.04,376.98,567516
MSFT,2025-03-31,372.74,375.03,377.07,367.26,1106937
MSFT,2025-04-01,374.61,382.11,382.86,373.36,639789
